-------------------------------------------------------
NAV_START | Fri Nov 22 12:21:51 EST 2019 | 12%
CUR_LOC | Fri Nov 22 12:39:48 EST 2019 | 6% | 40.43781529 | -79.96207824 | 9.25m/s | 5860.317m
CUR_LOC | Fri Nov 22 12:39:49 EST 2019 | 6% | 40.43786368 | -79.96198436 | 9.25m/s | 5850.813m
CUR_LOC | Fri Nov 22 12:39:50 EST 2019 | 6% | 40.43793022 | -79.96190679 | 9.25m/s | 5840.969m
CUR_LOC | Fri Nov 22 12:39:51 EST 2019 | 6% | 40.43799077 | -79.96182492 | 9.0m/s | 5831.3057m
CUR_LOC | Fri Nov 22 12:39:52 EST 2019 | 6% | 40.43805948 | -79.96175719 | 9.0m/s | 5821.916m
CUR_LOC | Fri Nov 22 12:39:53 EST 2019 | 6% | 40.43811142 | -79.96159907 | 10.75m/s | 5808.125m
CUR_LOC | Fri Nov 22 12:39:54 EST 2019 | 6% | 40.43817241 | -79.96151428 | 10.5m/s | 5798.2456m
CUR_LOC | Fri Nov 22 12:39:55 EST 2019 | 6% | 40.43821557 | -79.96141024 | 10.25m/s | 5788.4995m
CUR_LOC | Fri Nov 22 12:39:56 EST 2019 | 6% | 40.43825894 | -79.96132252 | 9.75m/s | 5779.759m
CUR_LOC | Fri Nov 22 12:39:57 EST 2019 | 6% | 40.43830394 | -79.96134039 | 7.5m/s | 5777.501m
CUR_LOC | Fri Nov 22 12:39:58 EST 2019 | 6% | 40.4383273 | -79.96125041 | 7.5m/s | 5770.119m
CUR_LOC | Fri Nov 22 12:39:59 EST 2019 | 6% | 40.43834837 | -79.96124428 | 6.0m/s | 5768.1553m
CUR_LOC | Fri Nov 22 12:40:00 EST 2019 | 6% | 40.43839057 | -79.96120919 | 5.75m/s | 5762.7944m
CUR_LOC | Fri Nov 22 12:40:01 EST 2019 | 6% | 40.43833197 | -79.9612745 | 2.5m/s | 5771.276m
CUR_LOC | Fri Nov 22 12:40:02 EST 2019 | 6% | 40.43821738 | -79.96147105 | 2.5m/s | 5792.168m
CUR_LOC | Fri Nov 22 12:40:03 EST 2019 | 6% | 40.43828414 | -79.96139015 | 0.25m/s | 5782.0996m
CUR_LOC | Fri Nov 22 12:40:04 EST 2019 | 6% | 40.4382941 | -79.9614433 | 0.5m/s | 5784.681m
CUR_LOC | Fri Nov 22 12:40:05 EST 2019 | 6% | 40.43830544 | -79.96142612 | 1.25m/s | 5782.7554m
CUR_LOC | Fri Nov 22 12:40:06 EST 2019 | 6% | 40.43832722 | -79.96139261 | 2.0m/s | 5779.0254m
CUR_LOC | Fri Nov 22 12:40:07 EST 2019 | 6% | 40.43833068 | -79.96132771 | 2.5m/s | 5774.7026m
